name,message,since,link,country
Jeremy,"6年間お疲れ様でした
これから進むあなたの輝かしい未来を応援します
愛してます。これからも永遠に
사랑해요. 카나타.",2023,,
,Thank you for everything. We Love our Gorilla,2020,,
Mantas,"Kanata is my reason to keep going. I love your voice, I love your cute laugh, I love how kind you are. Your morning tweets gives me energy. I'm devastated that I might not see any of these things, but if there is even a tiny hope that one day I will hear you again, I will cling to it. I love you. ",2021,,
Yeo Zong Han,いろいろ言いましたが、もし最後に何か言うことがあるとしたら、それはいつも感謝の言葉です。遠くの彼方よりにあなたが見えなくなるまで、私はあなたを見守ります。勇敢に人生と現実に立ち向かうあなた、私はいつもあなたを愛し、支えます!,2021,,Singapore
Su-X,3年間推しでいてくれてありがとう、カナタ。あなたの歌声が大好きです。より良い未来のために、もっと幸せに健康に生きることをカナタに約束します。カナタの今後の活躍を祈っています！,2022,,Malaysia
melbne78,"Thank you so much for all the memories and love, our sweet Angel Kanata. We will forever keep you in our hearts, and you will always be a treasure to the HOLOLIVE community. Wishing you forever joy and strength for your amazing life ahead. We love you 💗💫",2020,,Australia
Hendy Taslim,KANATAAAAA!! I'M SO SAD WHEN I SEE THE NEWS THAT YOU'LL BE GRADUATED. EVEN THOUGH YOU'RE NOT MY OSHI BUT I ALWAYS ENJOY EVERY CLIPS THAS HAS KANATAN INSIDE. YOU ARE SUCH AN AMAZING PERSON TO BE IN HOLOLIVE FOR 6 YEARS EVEN THOUGH YOU HAVE ENCOUNTERED MANY HARDSHIP. I AM SO PROUD OF YOU💓💓💓,2025,,Indonesia
Duc Nguyen Huu,"Hello Kanata-san, I haven't had the chance to watch much of your streams, but you're one of my favorite Hololive singers of all time, and I will very much remember your singing voice! Thank you for all of the hard work in these last six years, and I wish you all the best moving forward :)",2023,,Vietnam
Minervaさん,"あなたの卒業を聞いてから、あなたの存在が私の中で思った以上に大きかったことを知りました。あなたの力強い歌声と素敵な笑顔に何度も救われていたと思います。
卒業は、正直悲しくて、今でも胸にぽっかり穴が開いていますが、あなたの決断したその道にたくさんの幸せの花が咲いていることを祈っています。
あえて言います。またどこかで……",2019,,Japan / 日本
Memeranglaut,"Hi Kanata. We love you. We love everything you do. We want all the best for you, always. We wish all the best to you onwards. Live a long and healthy live for us, but also for you. Heimins are here always in your heart and you in ours❤️",2021,,Malaysia
しるふぃん,6年間、本当にお疲れさまでした。かなたんと共にあった日々は、今までどの日よりも輝いていたなぁと思います。これからの人生、かなたんの事を忘れる日は絶対にないと思います、なのでそちらはどうかお幸せに、健やかに生きてくださいね！ありがとう！大好き！！,2020,https://x.com/silfin_hontai/status/1933811660264780281?s=20,Japan / 日本
Ririchi,"Thank you always for being such an amazing Angel Kanata chan!
wish you the best and happiness in the future!!!
take care and stay healthy! ",2021,,Malaysia
SlackFunday,あなたは本当に最高にクールな人です。あなたの声と可愛い笑い声、ずっと忘れません。本当にありがとう。最高の人生を送ってくださいね。,2022,,France
Neato,I'll always remember you. どれほど長くても,2020,,Australia
,You were amazing! Thank you for being a Super Star! Thank you for making me smile and laugh and feel happy! Thank you for the amazing memories! Thank you for everything!,2020,,India
Xkorpitron,私はドラゴンの友達との約束を守って、あなたを見守ってきました。そして、時間が経つにつれて、私はあなたを見るのが楽しくなり、ヘイミンであるあなたを好きになりました。あなたが直面したすべての障害にもかかわらず、あなたは耐え、頑張り続けました。私はカナタンをとても誇りに思っています。元気を出して、頭を高く上げて、本当にありがとう！,2021,,Portugal
筒香,"こんかなた、いつもお世話になっております。
この度の卒業は驚いてしましたが、これからも前向きに上手くやっていけるのを心から願っています。
かなたそからは喜び、勇気、頑張る力を貰ったことが多々あります。おかげで今の私があります、そこに関しては本当に感謝の言葉がいっぱいです。
かなたんのことを知ったきっかけはあさここでした。
まさかあのクソダサオウムPPT天使がこれほどの成長を成し遂げたことはまだその頃の自分にはまだ知らなかった、けどその成長過程も見てたから嬉しいかったです。
まだたくさんの言葉が言い切れないので、ここら辺で終わりたいと思います。
これからの人生も長いので楽しく生きましょう💫～",2020,,Malaysia
,"Thank you, for being nice and supportive of others choices.",2024,,United States
bronrg,かなたさん、こんにちは! 6周年おめでとうございます、そうて卒業は悲しいです。かなたんは、つらい時にあたしを笑わせて助けてくれました。そのことをあたしは決して忘れません。ありがとうございます。これからも、どこに行ってもかなたんの熱心な姿勢で人々を助け続けてほしいと思います。,2019,,Singapore
,Thank you Kanata-san. You're the coolest when singingg.,2021,,Malaysia
,"since im not a Heimin, i dont actually know much about kanata, but i still want to wish her the best for her future self, wish her bombarded with health and fortune",,,Vietnam
xidorn,"I am glad, because I was able to see you give your all. You never gave up, and now I want to never give up, too. I have no regrets being a Heimin. Thank you, Kanatan. Take it easy now, you earned it. かなたんの全身全霊に頑張ってる姿を見られて嬉しい。かなたんが諦めなくて、そのおかげで僕も諦めたくなくなった。へい民になって後悔一切ない。ありがちょ、かなたん。ゆっくり休んでね。
最後に、おつかなた💫",2020,https://x.com/x1dorn/status/1279746118788591617,Philippines
クロカミ,今までありがとうございました。元気でいてください。ファンとしてまだしてられないことあ多いんです、ソロライブもまだ現地で見れない、買ったペンライトもハッピもまだ新品。ですがかなたんの決めたことですのでそれを尊敬します。私も陰キャで口少ないので長い文章は書けないのでこれで失礼します、おつかなたでした。,2020,,Indonesia
Butter,"Thank you for everything, we love you!

本当にありがとう、愛してる！",2020,,Singapore
Yasen_siyo,かなたそへ。かなたそをデビューから見てきました韓国ニキです。最初のレインボーフォントサムネやあご茶わんとかあって独特だなとも思いましたがいつのまにかヘイ民になっていました。ココの卒業の時にはすごく泣いたし、キセキ結びを聞くたびに今も涙目になります。それからずっと悔いのない推し活すると決めました。Fesも参加して、グッズのいっぱい買ってかなたそのソロライブも現地参加しました。歌とアイドルとVtuberとインターネット文化が好きなかなたそを十分感じました。韓国のhololive STAGE World Tour ‘25 Seoulももちろん参加予定です。それでも自分、悔いなく推せたでしょうか。,2019,https://x.com/twitwithteeth/status/1954883970761625745?s=20,"Korea, South"
SAASJP/WoodenPickaxe,"Thank you kanata for everything! You were the reason i kept going through during Covid-19 Pandemic and found a way to university+graduating! But now it's your turn to graduate, i feel very sad but i wish you good luck wherever your journey takes you! Stay healthy always!!! ありがとう ございました かなたん！！！",2021,,Indonesia
PianistandRosetaiMelfriendHaaton,"Kanata, I will miss you dearly. Your beautiful singing will always be remembered by us all. You were also a real angel, because you were very cute.
Goodbye, Kanata.",2025,,Italy
xtt,一緒に過ごした時間すべてに感謝します。私はもうずっとホロライブのファンで、長年一緒に過ごした楽しい時間も悲しい時間も、いつまでも忘れません。ずっと頑張ってくれてありがとう。,2020,,Malaysia
Izuru,"悲しみなんかない世界 愛をあきらめたくない、どんな涙も かならず乾く、ボクらが変えてく未来、きずなは とぎれやしない

かなたん、今まで本当にありがとう。これから、ちゃんと幸せになれますように。
Kanatan, thank you for everything . I hope you find a true happiness from here on.",2024,https://x.com/izuruu19/status/1840246913704357952?s=20,Malaysia
,こんかなた！私はシンガポールからの海外ニキです、だから変な日本語ある。２０２５年３月私はかなたんのことを見つけました。最初かなたはただのホロメンだ、でも今はかなたんの色々なことを好き。例えば声が好き、配信が好き、コラボが好き、歌が好き。本当にいろいろなこと好きすぎる。かなたが行く先々で、かなたかなたをもっと幸せにしてくれますように。I LOVE KANATA!,2025,,Singapore
白玉ふぉんでゅ,本当に好きにいつも真っ直ぐに正直でいつまでも天使（人）として尊敬してると同時に憧れています。そんなかなたんを応援してる内に自分も変わらなきなと思って行動することができるようになりました。このかなたんからもらった大事な経験と気持ちは絶対に忘れません。これからもこれまでも最高の推しです！本当にいつもありがとう！,2020,,Japan / 日本
weefyeet,"最初から最後まで、すてきなかなたさんを応援できて、とても幸せでした。
だからこそ、卒業されると聞いて本当にさびしいです。

かなたさんと、みなさんと一緒に過ごした時間は、ずっとずっと忘れません。
どこへ行かれても、私たちの希望でいてください。
これからの道が、かなたさんにとって輝く未来になりますように。

心から応援しています。",2021,,United States
trashbin,"Thank you for the years Kanata has been active in holo. I loved Kanata's voice as it sounded unique to most I've heard. Kanata has gotten me through some challenges through songs and personality.
カナタがホロで活動してくれた年月、本当にありがとう。カナタの声は、今まで聴いた中で特に独特で大好きでした。カナタの歌が、幾つもの困難を乗り越える支えになってくれました。",2021,,Indonesia
YuYuYu,"thank you Kanatan, you make people like me happy, always.
good luck in the future, i hope you always happy.",2022,,Indonesia
newbzrul3,"Thank you for giving me a reason to push forward in life despite how hard it can be. Many people wish they could have the strength you do, and we'll work hard to make you proud.",2025,,United States
,"watching your Dark souls series and sekiro and how you are immersed with the story was very wonderful, you are a very strong woman before hololive and in hololive, i wish you happiness and fortune always come to you",2023,,Indonesia
たっつ222,"かなたんに出会えて本当に楽しい日々でした
一緒に笑ったり泣いたり幸せな日々を送れたと思います  病気と向き合ってやり抜いた貴女を心から尊敬し貴女を推せて良かったと思います
寂しさもありますが何より今まで頑張ってきた貴女がこれから健やかに元気に暮らせるよう心から祈ってます
本当にありがとう かなた",2021,https://x.com/tattsu__222/status/1964684002423623874?s=46,Japan / 日本
ごはんたまごはん💫,言いたい事はココに書き尽くせない程にあるから、すこしだけです。どんなときも、常にあなたが心にいました。あなたの頑張る姿に惚れたんです。今心に穴が空いてしまったような気持ちですが、あなたが決めたことなら、最大限悩んだ後の決断でありそれはきっと幸せなことであると信じています。ほんとにありがとう、大好き,2021,https://x.com/gth283/status/1996196299927146818?t=AEp36VTbcjBmhpLjIBh_6g&s=19,Japan / 日本
Kitsu,Kanata! Ganbatte! We will miss you!,2024,,United States
MALICE-まりす-,かなたん！卒業しちゃうのは凄く寂しいけど、かなたんに貰った大切な時間は一生の宝物だよ！本当にありがとう！会えなくなってもずっと忘れないからね！一生愛してるよ！,2021,https://x.com/MALICE_yy/status/1677015556145438720/photo/1,Japan / 日本
tepu,"thank you for everything kanatan, we will love you forever",2022,,Malaysia
,ありがとう😭✨世界一のアイドル、 一生忘れてやらないぞ。 大好き❤️ ひんです,2020,,Hong Kong
詠麟,カナタさん、5年間本当にお疲れ様でした。毎日生配信やアーカイブを見るのが本当に楽しかったです。これからも健康で幸せに過ごしてください。最高のアイドルです！ 勝手なお願いですが、カナタさんはもうネットでカナタさんの痕跡を探さないでほしいと願っているようですが、きっと我慢できないでしょう。たとえ可能性でもいいから、またカナタさんの近況を聞き、歌声を聞ける日が来ることを心から願っています。メンバーとして5年近く、本当に毎日が幸せでした！ ありがとうございます！,2020,,Taiwan
なっつん💫,"かなたん、6年間お疲れ様でした。
職場で病んで、死んでやろうかって思うほど辛い時にかなたんの曲、配信に救われました。今の僕があるのはかなたんのおかげです。
あなたは誰よりも誠実な人だから、きっと死ぬほど悩んだし泣いたことでしょう。僕たちや他のホロメンが悲しんだり傷つくことまできっと考えてくれたはずです。だから卒業してしまうのは寂しいけれど、かなたんの次が幸せな道であるように心の、心の底から願っています。
本当に今までありがとう。あなたに出会えたことは僕の一緒の宝物です。

いってらっしゃい。",2024,,Japan / 日本
ST Satia,"Thank you Amane Kanata for the past 6 years. Although I didn't follow you at the beginning, it was a great journey coming along with you since 2023. You have been my light since then. You cured me from stress and family issue. I will never forget you 💙",2023,https://x.com/Shalltear450/status/1996202533115871549?t=uZzFhNBkezsoF1jjCrlVBA&s=19,Vietnam
Boku,"Thank you for everything, Kanatan. It’s hard to put into words how much you mean to me. Your presence has been a source of comfort, motivation, and happiness to me. It hurts to let go, but I’m proud of you.
Please continue shining in your own way💫 I love you always💙",2020,https://x.com/rikkidesuyo/status/1994424760084951154,Brunei
せりす,"かなたんには本当に感謝の気持ち
辛い時も嬉しい時も一緒にいてくれた
かなたんのお陰で幸せな4年間を過ごしました。
かなたんには幸せな未来だけ残って欲しい
かなたんがたくさん悩んで決めた事だから行かないとは言わないよ
かなたんは私の人生を照らしてくれた灯りであり、私の幸せでした
今まで、本当にありがとうございました。
これまでも、これからも、大好きです。
世界で一番のアイドル
愛を伝えます",2022,,"Korea, South"
양파,꼭 행복해야 해,2021,,"Korea, South"
